,Postal Code,Borough,Neighbourhood,Latitude,Longitude
0,M3A,North York,Parkwoods,43.7587999,-79.3201966
1,M4A,North York,Victoria Village,43.732658,-79.3111892
2,M5A,Downtown Toronto,Regent Park,43.659738,-79.361559
3,M5A,Downtown Toronto,Harbourfront,43.654652,-79.381164
4,M6A,North York,Lawrence Manor,43.7220788,-79.4375067
5,M6A,North York,Lawrence Heights,43.7227784,-79.4509332
6,M7A,Downtown Toronto,Queen's Park,43.659897,-79.390337
7,M7A,Downtown Toronto,Ontario Provincial Government,43.631212,-79.426197
8,M9A,Etobicoke,Islington Avenue,43.6782071,-79.5382694
9,M9A,Etobicoke,Humber Valley Village,43.6664717,-79.5243136
10,M1B,Scarborough,Malvern,43.8091955,-79.2217008
11,M1B,Scarborough,Rouge,43.8049304,-79.1658374
12,M3B,North York,Don Mills,43.775347,-79.3459439
13,M4B,East York,Parkview Hill,43.704479,-79.32949
14,M4B,East York,Woodbine Gardens,43.7120785,-79.3025673
15,M5B,Downtown Toronto,Garden District,43.6523481,-79.3789918
16,M5B,Downtown Toronto,Ryerson,43.65846945,-79.3789932724589
17,M6B,North York,Glencairn,43.7087117,-79.4406853
18,M9B,Etobicoke,West Deane Park,43.6631995,-79.5685684
19,M9B,Etobicoke,Princess Gardens,43.67061,-79.553568
20,M9B,Etobicoke,Martin Grove,43.694774,-79.572406
21,M9B,Etobicoke,Islington,43.645335,-79.5248163
22,M9B,Etobicoke,Cloverdale,43.633637,-79.5497447
23,M1C,Scarborough,Rouge Hill,43.7802711,-79.1304992
24,M1C,Scarborough,Port Union,43.7755039,-79.1349765
25,M1C,Scarborough,Highland Creek,43.7901172,-79.1733344
26,M3C,North York,Don Mills,43.775347,-79.3459439
27,M4C,East York,Woodbine Heights,43.69992,-79.319279
28,M5C,Downtown Toronto,St. James Town,34.012293,-117.644491
29,M6C,York,Humewood-Cedarvale,43.691608,-79.427542
30,M9C,Etobicoke,Eringate,43.6622732,-79.5765162
31,M9C,Etobicoke,Bloordale Gardens,43.6353169,-79.5636744
32,M9C,Etobicoke,Old Burnhamthorpe,43.6393732,-79.5843869
